[10:50:06.76] [ComponentService] <INFO> 正在注册： vx-tab-pane.vue文件 (ComponentService.plugin.js:249)
[10:50:06.77] [ComponentService] <INFO> 正在注册： vx-tabs.vue文件 (ComponentService.plugin.js:249)
[10:50:06.78] [ComponentService] <INFO> 正在注册： vx-view-baidumap.vue文件 (ComponentService.plugin.js:249)
[10:50:06.79] [ComponentService] <INFO> 正在注册： vx-view-countup.vue文件 (ComponentService.plugin.js:249)
[10:50:06.84] [ComponentService] <INFO> 正在注册： vx-view-datatable.vue文件 (ComponentService.plugin.js:249)
[10:50:06.85] [ComponentService] <INFO> 正在注册： vx-view-dialog.vue文件 (ComponentService.plugin.js:249)
[10:50:06.86] [ComponentService] <INFO> 正在注册： vx-view-echart.vue文件 (ComponentService.plugin.js:249)
[10:50:06.87] [ComponentService] <INFO> 正在注册： vx-view-govmap.vue文件 (ComponentService.plugin.js:249)
[10:50:06.88] [ComponentService] <INFO> 正在注册： vx-view-heatmap.vue文件 (ComponentService.plugin.js:249)
[10:50:06.90] [ComponentService] <INFO> 正在注册： vx-view-linescroll.vue文件 (ComponentService.plugin.js:249)
[10:50:06.91] [ComponentService] <INFO> 正在注册： vx-view-map.vue文件 (ComponentService.plugin.js:249)
[10:50:06.93] [ComponentService] <INFO> 正在注册： vx-view-pagelist.vue文件 (ComponentService.plugin.js:249)
[10:50:06.93] [ComponentService] <INFO> 正在注册： vx-view-pagesize.vue文件 (ComponentService.plugin.js:249)
[10:50:06.99] [ComponentService] <INFO> 正在注册： vm-page-grid.vue文件 (ComponentService.plugin.js:249)
[10:50:06.100] [ComponentService] <INFO> 正在注册： vx-basic-button.vue文件 (ComponentService.plugin.js:249)
[10:50:07.00] [ComponentService] <INFO> 正在注册： vx-basic-tree.vue文件 (ComponentService.plugin.js:249)
[10:50:07.01] [ComponentService] <INFO> 正在注册： vx-container-col.vue文件 (ComponentService.plugin.js:249)
[10:50:07.03] [ComponentService] <INFO> 正在注册： vx-container-combo.vue文件 (ComponentService.plugin.js:249)
[10:50:07.07] [ComponentService] <INFO> 正在注册： vx-container-dialog.vue文件 (ComponentService.plugin.js:249)
[10:50:07.08] [ComponentService] <INFO> 正在注册： vx-container-gridster.vue文件 (ComponentService.plugin.js:249)
[10:50:07.10] [ComponentService] <INFO> 正在注册： vx-container-item.vue文件 (ComponentService.plugin.js:249)
[10:50:07.11] [ComponentService] <INFO> 正在注册： vx-container-row.vue文件 (ComponentService.plugin.js:249)
[10:50:07.12] [ComponentService] <INFO> 正在注册： vx-container-tab.vue文件 (ComponentService.plugin.js:249)
[10:50:07.12] [ComponentService] <INFO> 正在注册： vx-form-cascader.vue文件 (ComponentService.plugin.js:249)
[10:50:07.15] [ComponentService] <INFO> 正在注册： vx-form-check.vue文件 (ComponentService.plugin.js:249)
[10:50:07.17] [ComponentService] <INFO> 正在注册： vx-form-clockpicker.vue文件 (ComponentService.plugin.js:249)
[10:50:07.19] [ComponentService] <INFO> 正在注册： vx-form-daterangepicker.vue文件 (ComponentService.plugin.js:249)
[10:50:07.20] [ComponentService] <INFO> 正在注册： vx-form-datesinglepicker.vue文件 (ComponentService.plugin.js:249)
[10:50:07.21] [ComponentService] <INFO> 正在注册： vx-form-group-select.vue文件 (ComponentService.plugin.js:249)
[10:50:07.22] [ComponentService] <INFO> 正在注册： vx-form-input.vue文件 (ComponentService.plugin.js:249)
[10:50:07.23] [ComponentService] <INFO> 正在注册： vx-form-location.vue文件 (ComponentService.plugin.js:249)
[10:50:07.24] [ComponentService] <INFO> 正在注册： vx-form-number.vue文件 (ComponentService.plugin.js:249)
[10:50:07.24] [ComponentService] <INFO> 正在注册： vx-form-password.vue文件 (ComponentService.plugin.js:249)
[10:50:07.25] [ComponentService] <INFO> 正在注册： vx-form-radio.vue文件 (ComponentService.plugin.js:249)
[10:50:07.27] [ComponentService] <INFO> 正在注册： vx-form-select.vue文件 (ComponentService.plugin.js:249)
